run_id,stage,state,evidence_class,manifest,primary_summary,root_exists,notes
20260526_201536,raw_feasibility,complete,exploratory,pilot_runs/20260526_201536/run_manifest.tsv,pilot_runs/20260526_201536/outputs/g4_pythia14m/raw_sep_summary.json,true,
20260526_224002_saga3000_c2alt,raw_criterion_dev,partial,exploratory_partial,pilot_runs/20260526_224002_saga3000_c2alt/run_manifest.tsv,pilot_runs/20260526_224002_saga3000_c2alt/outputs/g4_pythia14m/raw_sep_summary.json,true,
20260527_124434_torch_gpu_probes,raw_probe_engineering,complete,exploratory,pilot_runs/20260527_124434_torch_gpu_probes/run_manifest.tsv,pilot_runs/20260527_124434_torch_gpu_probes/outputs/g5_pythia70m/intermediates/partial_summary.json,true,
20260527_140213_rankcurve_c2var_balanced,raw_rank_launcher,launcher_only,no_scientific_result,pilot_runs/20260527_140213_rankcurve_c2var_balanced/run_manifest.tsv,,true,
20260527_140327_rankcurve_c2var_balanced,raw_rank_curve,complete,diagnostic,pilot_runs/20260527_140327_rankcurve_c2var_balanced/run_manifest.tsv,pilot_runs/20260527_140327_rankcurve_c2var_balanced/outputs/g4_pythia14m_layer2/intermediates/partial_summary.json,true,
20260527_210247_v5_gpufirst_balanced_multiseed,raw_v2_gate,complete,transitional,pilot_runs/20260527_210247_v5_gpufirst_balanced_multiseed/run_manifest.tsv,pilot_runs/20260527_210247_v5_gpufirst_balanced_multiseed/outputs/g4_pythia14m_s42_layer2/intermediates/partial_summary.json,true,
20260528_001028_v6_prek2_fullsuite,pre_k2_attempt,partial,superseded,pilot_runs/20260528_001028_v6_prek2_fullsuite/run_manifest.tsv,,true,
20260528_001131_v6_prek2_fullsuite,pre_k2_attempt,partial,superseded,pilot_runs/20260528_001131_v6_prek2_fullsuite/run_manifest.tsv,,true,
20260528_001543_v6_prek2_fullsuite,pre_k2_fullsuite,complete,authoritative_pre_k2,pilot_runs/20260528_001543_v6_prek2_fullsuite/run_manifest.tsv,pilot_runs/20260528_001543_v6_prek2_fullsuite/outputs/A_gpt2_s42_L4_iid/intermediates/partial_summary.json,true,
20260528_132545_compat_v5_iid,compatibility,complete,control,pilot_runs/20260528_132545_compat_v5_iid/run_manifest.tsv,pilot_runs/20260528_132545_compat_v5_iid/outputs/compat_p160_s42_L3_iid/intermediates/partial_summary.json,true,
_k2_smoke_test,k2_engineering,complete,smoke,,pilot_runs/_k2_smoke_test/train_summary.json,true,
_k2_resume_test,k2_engineering,complete,resume_validation_model_rng_only,,pilot_runs/_k2_resume_test/phase1/train_summary.json,true,
20260528_142003_k2_msae_wave1,k2_100m,complete,promotion,pilot_runs/20260528_142003_k2_msae_wave1/run_manifest.tsv,pilot_runs/20260528_142003_k2_msae_wave1/outputs/k2_wave1_g4_L3_s42_inc1e2/train_summary.json,true,
20260529_000001_smoke_k2_msae_wave2,k2_wave2_smoke,complete,smoke,pilot_runs/20260529_000001_smoke_k2_msae_wave2/run_manifest.tsv,pilot_runs/20260529_000001_smoke_k2_msae_wave2/outputs/k2_wave1_g4_L3_s42_inc1e2_wave2/train_summary.json,true,
20260529_122259_k2_msae_wave2,k2_wave2_initial,compromised,superseded_data_pipeline,pilot_runs/20260529_122259_k2_msae_wave2/run_manifest.tsv,,true,
20260601_131703_k2_msae_wave2_fastdata,k2_launch,empty,no_result,,,true,
20260601_131736_k2_msae_wave2_fastdata,k2_launch,logs_only,failed_launch,,,true,
20260601_132158_k2_msae_wave2_fastdata_stream,k2_1b,complete,development_existing_checkpoint,pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/run_manifest.tsv,pilot_runs/20260601_132158_k2_msae_wave2_fastdata_stream/outputs/k2_wave2_fast_g4_L3_s42_inc1e2/train_summary.json,true,
20260604_184924_pcc_stage_a0,pcc_a0,complete,exploratory_go,pilot_runs/20260604_184924_pcc_stage_a0/run_manifest.tsv,pilot_runs/20260604_184924_pcc_stage_a0/outputs/pcc_a0_g4_L3_s42_inc1e2/pcc_stage_a0_summary.json,true,
20260605_013756_pcc_stage_a1,pcc_a1,complete,frozen_no_go,pilot_runs/20260605_013756_pcc_stage_a1/run_manifest.tsv,pilot_runs/20260605_013756_pcc_stage_a1/outputs/pcc_a1_g4_L3_s42_inc1e2/pcc_stage_a1_summary.json,true,
20260605_030600_pcc_stage_a1b,pcc_a1b,complete,diagnostic_amendment_support,pilot_runs/20260605_030600_pcc_stage_a1b/run_manifest.tsv,pilot_runs/20260605_030600_pcc_stage_a1b/outputs/pcc_a1b_g4_L3_s42_inc1e2/pcc_stage_a1b_summary.json,true,
20260605_034815_pcc_stage_a1c,pcc_a1c_a1r,complete,prospective_amended_go,pilot_runs/20260605_034815_pcc_stage_a1c/run_manifest.tsv,pilot_runs/20260605_034815_pcc_stage_a1c/outputs/pcc_a1c_g4_L3_s42_inc1e2/pcc_stage_a1c_summary.json,true,
20260605_040323_pcc_stage_b_light_controls,pcc_b_light,complete,analysis_only,pilot_runs/20260605_040323_pcc_stage_b_light_controls/run_manifest.tsv,pilot_runs/20260605_040323_pcc_stage_b_light_controls/outputs/pcc_bl_g4_L3_s42_inc1e2/pcc_stage_b_light_summary.json,true,
20260605_111613_pcc_stage_b_contrasts,pcc_contrasts,complete,exploratory_no_stage_c,pilot_runs/20260605_111613_pcc_stage_b_contrasts/run_manifest.tsv,pilot_runs/20260605_111613_pcc_stage_b_contrasts/outputs/pcc_bc_g4_L3_s42_inc1e2/pcc_stage_b_contrasts_summary.json,true,
