split_mode	model	layer_index	rank	metric	n	mean	ci_lo_95	ci_hi_95
all	EleutherAI/pythia-14m-deduped	2	4	raw_pos_auc	1	0.5219331976878668	0.5219331976878668	0.5219331976878668
all	EleutherAI/pythia-14m-deduped	2	4	c2_var_ratio	1	2.6806924536243266	2.6806924536243266	2.6806924536243266
all	EleutherAI/pythia-14m-deduped	2	4	tok_drop_frac_v2	1	0.5837083017791577	0.5837083017791577	0.5837083017791577
all	EleutherAI/pythia-14m-deduped	2	4	all_pass_v2	1	0.0	0.0	0.0
all	EleutherAI/pythia-14m-deduped	2	8	raw_pos_auc	1	0.5219331976878668	0.5219331976878668	0.5219331976878668
all	EleutherAI/pythia-14m-deduped	2	8	c2_var_ratio	1	2.1631170301144524	2.1631170301144524	2.1631170301144524
all	EleutherAI/pythia-14m-deduped	2	8	tok_drop_frac_v2	1	0.44375485886486077	0.44375485886486077	0.44375485886486077
all	EleutherAI/pythia-14m-deduped	2	8	all_pass_v2	1	0.0	0.0	0.0
all	EleutherAI/pythia-14m-deduped	2	16	raw_pos_auc	1	0.5219331976878668	0.5219331976878668	0.5219331976878668
all	EleutherAI/pythia-14m-deduped	2	16	c2_var_ratio	1	1.713456068486161	1.713456068486161	1.713456068486161
all	EleutherAI/pythia-14m-deduped	2	16	tok_drop_frac_v2	1	0.23894492400415582	0.23894492400415582	0.23894492400415582
all	EleutherAI/pythia-14m-deduped	2	16	all_pass_v2	1	0.0	0.0	0.0
all	EleutherAI/pythia-14m-deduped	4	4	raw_pos_auc	1	0.5638600476578145	0.5638600476578145	0.5638600476578145
all	EleutherAI/pythia-14m-deduped	4	4	c2_var_ratio	1	1.657713614636691	1.657713614636691	1.657713614636691
all	EleutherAI/pythia-14m-deduped	4	4	tok_drop_frac_v2	1	0.7299409941248196	0.7299409941248196	0.7299409941248196
all	EleutherAI/pythia-14m-deduped	4	4	all_pass_v2	1	0.0	0.0	0.0
all	EleutherAI/pythia-14m-deduped	4	8	raw_pos_auc	1	0.5638600476578145	0.5638600476578145	0.5638600476578145
all	EleutherAI/pythia-14m-deduped	4	8	c2_var_ratio	1	1.3437599658656827	1.3437599658656827	1.3437599658656827
all	EleutherAI/pythia-14m-deduped	4	8	tok_drop_frac_v2	1	0.5579837338648653	0.5579837338648653	0.5579837338648653
all	EleutherAI/pythia-14m-deduped	4	8	all_pass_v2	1	0.0	0.0	0.0
all	EleutherAI/pythia-14m-deduped	4	16	raw_pos_auc	1	0.5638600476578145	0.5638600476578145	0.5638600476578145
all	EleutherAI/pythia-14m-deduped	4	16	c2_var_ratio	1	1.4117859940630961	1.4117859940630961	1.4117859940630961
all	EleutherAI/pythia-14m-deduped	4	16	tok_drop_frac_v2	1	0.3825171549535421	0.3825171549535421	0.3825171549535421
all	EleutherAI/pythia-14m-deduped	4	16	all_pass_v2	1	0.0	0.0	0.0
all	EleutherAI/pythia-160m-deduped	3	8	raw_pos_auc	23	0.7910968160611004	0.7775873409307222	0.8024259250329872
all	EleutherAI/pythia-160m-deduped	3	8	c2_var_ratio	23	8.578859132836573	8.485113300987575	8.678987391240154
all	EleutherAI/pythia-160m-deduped	3	8	tok_drop_frac_v2	23	0.7399367147574559	0.7156369798260802	0.7648669574090208
all	EleutherAI/pythia-160m-deduped	3	8	all_pass_v2	23	1.0	1.0	1.0
all	EleutherAI/pythia-160m-deduped	3	16	raw_pos_auc	23	0.7910968160611004	0.777383824152092	0.8023184961340281
all	EleutherAI/pythia-160m-deduped	3	16	c2_var_ratio	23	4.509411018863128	4.452648580359663	4.568759638704876
all	EleutherAI/pythia-160m-deduped	3	16	tok_drop_frac_v2	23	0.5301411934156965	0.48131600896117044	0.5826896960595765
all	EleutherAI/pythia-160m-deduped	3	16	all_pass_v2	23	1.0	1.0	1.0
all	EleutherAI/pythia-160m-deduped	3	32	raw_pos_auc	23	0.7910968160611004	0.777005078857785	0.8023666090746033
all	EleutherAI/pythia-160m-deduped	3	32	c2_var_ratio	23	2.531041891405863	2.4825569675724184	2.577255441447325
all	EleutherAI/pythia-160m-deduped	3	32	tok_drop_frac_v2	23	0.3037553929656096	0.24997790442094606	0.36543730575929323
all	EleutherAI/pythia-160m-deduped	3	32	all_pass_v2	23	0.0	0.0	0.0
all	EleutherAI/pythia-160m-deduped	4	8	raw_pos_auc	23	0.7805300771394087	0.7643629204940643	0.793680841895742
all	EleutherAI/pythia-160m-deduped	4	8	c2_var_ratio	23	8.126722992990667	8.011424705284028	8.244801868715996
all	EleutherAI/pythia-160m-deduped	4	8	tok_drop_frac_v2	23	0.7805519818354681	0.7591718927702837	0.8026590713833699
all	EleutherAI/pythia-160m-deduped	4	8	all_pass_v2	23	1.0	1.0	1.0
all	EleutherAI/pythia-160m-deduped	4	16	raw_pos_auc	23	0.7805300771394087	0.7640512840955715	0.7937435916370315
all	EleutherAI/pythia-160m-deduped	4	16	c2_var_ratio	23	4.273698020381285	4.202111309330062	4.3544409822892804
all	EleutherAI/pythia-160m-deduped	4	16	tok_drop_frac_v2	23	0.5750099434757545	0.5351163154538787	0.6190153610650285
all	EleutherAI/pythia-160m-deduped	4	16	all_pass_v2	23	1.0	1.0	1.0
all	EleutherAI/pythia-160m-deduped	4	32	raw_pos_auc	23	0.7805300771394087	0.7637991950999662	0.7938120916011273
all	EleutherAI/pythia-160m-deduped	4	32	c2_var_ratio	23	2.38025144454634	2.3291287757185843	2.4303557941739196
all	EleutherAI/pythia-160m-deduped	4	32	tok_drop_frac_v2	23	0.3489133372521735	0.3009530557140618	0.4059837630579673
all	EleutherAI/pythia-160m-deduped	4	32	all_pass_v2	23	0.0	0.0	0.0
all	EleutherAI/pythia-70m-deduped	4	4	raw_pos_auc	1	0.7143985185726895	0.7143985185726895	0.7143985185726895
all	EleutherAI/pythia-70m-deduped	4	4	c2_var_ratio	1	21.069109553168424	21.069109553168424	21.069109553168424
all	EleutherAI/pythia-70m-deduped	4	4	tok_drop_frac_v2	1	0.7916334347211992	0.7916334347211992	0.7916334347211992
all	EleutherAI/pythia-70m-deduped	4	4	all_pass_v2	1	1.0	1.0	1.0
all	EleutherAI/pythia-70m-deduped	4	8	raw_pos_auc	1	0.7143985185726895	0.7143985185726895	0.7143985185726895
all	EleutherAI/pythia-70m-deduped	4	8	c2_var_ratio	1	11.042954594327288	11.042954594327288	11.042954594327288
all	EleutherAI/pythia-70m-deduped	4	8	tok_drop_frac_v2	1	0.7184775216321097	0.7184775216321097	0.7184775216321097
all	EleutherAI/pythia-70m-deduped	4	8	all_pass_v2	1	1.0	1.0	1.0
all	EleutherAI/pythia-70m-deduped	4	16	raw_pos_auc	1	0.7143985185726895	0.7143985185726895	0.7143985185726895
all	EleutherAI/pythia-70m-deduped	4	16	c2_var_ratio	1	6.05664881105141	6.05664881105141	6.05664881105141
all	EleutherAI/pythia-70m-deduped	4	16	tok_drop_frac_v2	1	0.5545117113392876	0.5545117113392876	0.5545117113392876
all	EleutherAI/pythia-70m-deduped	4	16	all_pass_v2	1	1.0	1.0	1.0
all	EleutherAI/pythia-70m-deduped	4	32	raw_pos_auc	1	0.7143985185726895	0.7143985185726895	0.7143985185726895
all	EleutherAI/pythia-70m-deduped	4	32	c2_var_ratio	1	3.6069444258098557	3.6069444258098557	3.6069444258098557
all	EleutherAI/pythia-70m-deduped	4	32	tok_drop_frac_v2	1	0.368827789989199	0.368827789989199	0.368827789989199
all	EleutherAI/pythia-70m-deduped	4	32	all_pass_v2	1	1.0	1.0	1.0
all	gpt2	4	4	raw_pos_auc	1	0.8877727318935906	0.8877727318935906	0.8877727318935906
