split_mode	model	layer_index	rank	metric	n	mean	ci_lo_95	ci_hi_95
iid	EleutherAI/pythia-14m-deduped	2	4	raw_pos_auc	1	0.5219331976878668	0.5219331976878668	0.5219331976878668
iid	EleutherAI/pythia-14m-deduped	2	4	c2_var_ratio	1	2.6806924536243266	2.6806924536243266	2.6806924536243266
iid	EleutherAI/pythia-14m-deduped	2	4	tok_drop_frac_v2	1	0.5837083017791577	0.5837083017791577	0.5837083017791577
iid	EleutherAI/pythia-14m-deduped	2	4	all_pass_v2	1	0.0	0.0	0.0
iid	EleutherAI/pythia-14m-deduped	2	8	raw_pos_auc	1	0.5219331976878668	0.5219331976878668	0.5219331976878668
iid	EleutherAI/pythia-14m-deduped	2	8	c2_var_ratio	1	2.1631170301144524	2.1631170301144524	2.1631170301144524
iid	EleutherAI/pythia-14m-deduped	2	8	tok_drop_frac_v2	1	0.44375485886486077	0.44375485886486077	0.44375485886486077
iid	EleutherAI/pythia-14m-deduped	2	8	all_pass_v2	1	0.0	0.0	0.0
iid	EleutherAI/pythia-14m-deduped	2	16	raw_pos_auc	1	0.5219331976878668	0.5219331976878668	0.5219331976878668
iid	EleutherAI/pythia-14m-deduped	2	16	c2_var_ratio	1	1.713456068486161	1.713456068486161	1.713456068486161
iid	EleutherAI/pythia-14m-deduped	2	16	tok_drop_frac_v2	1	0.23894492400415582	0.23894492400415582	0.23894492400415582
iid	EleutherAI/pythia-14m-deduped	2	16	all_pass_v2	1	0.0	0.0	0.0
iid	EleutherAI/pythia-14m-deduped	4	4	raw_pos_auc	1	0.5638600476578145	0.5638600476578145	0.5638600476578145
iid	EleutherAI/pythia-14m-deduped	4	4	c2_var_ratio	1	1.657713614636691	1.657713614636691	1.657713614636691
iid	EleutherAI/pythia-14m-deduped	4	4	tok_drop_frac_v2	1	0.7299409941248196	0.7299409941248196	0.7299409941248196
iid	EleutherAI/pythia-14m-deduped	4	4	all_pass_v2	1	0.0	0.0	0.0
iid	EleutherAI/pythia-14m-deduped	4	8	raw_pos_auc	1	0.5638600476578145	0.5638600476578145	0.5638600476578145
iid	EleutherAI/pythia-14m-deduped	4	8	c2_var_ratio	1	1.3437599658656827	1.3437599658656827	1.3437599658656827
iid	EleutherAI/pythia-14m-deduped	4	8	tok_drop_frac_v2	1	0.5579837338648653	0.5579837338648653	0.5579837338648653
iid	EleutherAI/pythia-14m-deduped	4	8	all_pass_v2	1	0.0	0.0	0.0
iid	EleutherAI/pythia-14m-deduped	4	16	raw_pos_auc	1	0.5638600476578145	0.5638600476578145	0.5638600476578145
iid	EleutherAI/pythia-14m-deduped	4	16	c2_var_ratio	1	1.4117859940630961	1.4117859940630961	1.4117859940630961
iid	EleutherAI/pythia-14m-deduped	4	16	tok_drop_frac_v2	1	0.3825171549535421	0.3825171549535421	0.3825171549535421
iid	EleutherAI/pythia-14m-deduped	4	16	all_pass_v2	1	0.0	0.0	0.0
iid	EleutherAI/pythia-160m-deduped	3	8	raw_pos_auc	5	0.8026413483374313	0.7991467254245768	0.8060657812722617
iid	EleutherAI/pythia-160m-deduped	3	8	c2_var_ratio	5	8.499173561796523	8.385121512539829	8.601993937912539
iid	EleutherAI/pythia-160m-deduped	3	8	tok_drop_frac_v2	5	0.6894796622928085	0.6643465102222548	0.720947919044294
iid	EleutherAI/pythia-160m-deduped	3	8	all_pass_v2	5	1.0	1.0	1.0
iid	EleutherAI/pythia-160m-deduped	3	16	raw_pos_auc	5	0.8026413483374313	0.798924251051666	0.8060657812722617
iid	EleutherAI/pythia-160m-deduped	3	16	c2_var_ratio	5	4.532290665392583	4.496874613932902	4.58220112005756
iid	EleutherAI/pythia-160m-deduped	3	16	tok_drop_frac_v2	5	0.4338958810300708	0.4094195689402951	0.45568219113482433
iid	EleutherAI/pythia-160m-deduped	3	16	all_pass_v2	5	1.0	1.0	1.0
