model	layer_index	split_mode	rank	n	position_hit_max_iter_rate	token_hit_max_iter_rate	position_n_iter_mean	position_n_iter_max	token_n_iter_mean	token_n_iter_max	position_effective_lr_mean	token_effective_lr_mean	scheduler_set
EleutherAI/pythia-14m-deduped	2	iid	4	1	0.0	0.0	200.0	200.0	400.0	400.0	0.05	0.05	cosine
EleutherAI/pythia-14m-deduped	2	iid	8	1	0.0	0.0	200.0	200.0	400.0	400.0	0.05	0.05	cosine
EleutherAI/pythia-14m-deduped	2	iid	16	1	0.0	0.0	200.0	200.0	400.0	400.0	0.05	0.05	cosine
EleutherAI/pythia-14m-deduped	4	iid	4	1	0.0	0.0	200.0	200.0	350.0	350.0	0.05	0.05	cosine
EleutherAI/pythia-14m-deduped	4	iid	8	1	0.0	0.0	200.0	200.0	350.0	350.0	0.05	0.05	cosine
EleutherAI/pythia-14m-deduped	4	iid	16	1	0.0	0.0	200.0	200.0	350.0	350.0	0.05	0.05	cosine
EleutherAI/pythia-160m-deduped	3	corpus_holdout	8	3	0.0	0.0	1766.6666666666667	1900.0	450.0	700.0	0.01	0.05000000000000001	cosine
EleutherAI/pythia-160m-deduped	3	corpus_holdout	16	3	0.0	0.0	1766.6666666666667	1900.0	450.0	700.0	0.01	0.05000000000000001	cosine
EleutherAI/pythia-160m-deduped	3	corpus_holdout	32	3	0.0	0.0	1766.6666666666667	1900.0	450.0	700.0	0.01	0.05000000000000001	cosine
EleutherAI/pythia-160m-deduped	3	iid	8	5	0.2	0.0	1520.0	2000.0	600.0	1000.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	3	iid	16	5	0.2	0.0	1520.0	2000.0	600.0	1000.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	3	iid	32	5	0.2	0.0	1520.0	2000.0	600.0	1000.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	3	source_holdout	8	15	0.13333333333333333	0.0	1623.3333333333333	2000.0	466.6666666666667	700.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	3	source_holdout	16	15	0.13333333333333333	0.0	1623.3333333333333	2000.0	466.6666666666667	700.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	3	source_holdout	32	15	0.13333333333333333	0.0	1623.3333333333333	2000.0	466.6666666666667	700.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	4	corpus_holdout	8	3	0.0	0.0	1666.6666666666667	1950.0	466.6666666666667	500.0	0.01	0.05000000000000001	cosine
EleutherAI/pythia-160m-deduped	4	corpus_holdout	16	3	0.0	0.0	1666.6666666666667	1950.0	466.6666666666667	500.0	0.01	0.05000000000000001	cosine
EleutherAI/pythia-160m-deduped	4	corpus_holdout	32	3	0.0	0.0	1666.6666666666667	1950.0	466.6666666666667	500.0	0.01	0.05000000000000001	cosine
EleutherAI/pythia-160m-deduped	4	iid	8	5	0.0	0.4	1360.0	1900.0	1220.0	2000.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	4	iid	16	5	0.0	0.4	1360.0	1900.0	1220.0	2000.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	4	iid	32	5	0.0	0.4	1360.0	1900.0	1220.0	2000.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	4	source_holdout	8	15	0.0	0.0	1570.0	1950.0	573.3333333333334	950.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	4	source_holdout	16	15	0.0	0.0	1570.0	1950.0	573.3333333333334	950.0	0.01	0.05	cosine
EleutherAI/pythia-160m-deduped	4	source_holdout	32	15	0.0	0.0	1570.0	1950.0	573.3333333333334	950.0	0.01	0.05	cosine
EleutherAI/pythia-70m-deduped	4	iid	4	1	0.0	0.0	550.0	550.0	400.0	400.0	0.05	0.05	cosine
EleutherAI/pythia-70m-deduped	4	iid	8	1	0.0	0.0	550.0	550.0	400.0	400.0	0.05	0.05	cosine
EleutherAI/pythia-70m-deduped	4	iid	16	1	0.0	0.0	550.0	550.0	400.0	400.0	0.05	0.05	cosine
EleutherAI/pythia-70m-deduped	4	iid	32	1	0.0	0.0	550.0	550.0	400.0	400.0	0.05	0.05	cosine
gpt2	4	iid	4	1	0.0	0.0	1550.0	1550.0	250.0	250.0	0.01	0.05	cosine
gpt2	4	iid	8	1	0.0	0.0	1550.0	1550.0	250.0	250.0	0.01	0.05	cosine
gpt2	4	iid	16	1	0.0	0.0	1550.0	1550.0	250.0	250.0	0.01	0.05	cosine
gpt2	4	iid	32	1	0.0	0.0	1550.0	1550.0	250.0	250.0	0.01	0.05	cosine
