scope	model	layer_index	rank	c2_var_ratio_threshold	c2_var_excess_floor	c3_v2_drop_fraction	pass_rate	n
by_model_layer_rank	EleutherAI/pythia-14m-deduped	2	4	2.5	0.03	0.2	1.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	2	8	2.5	0.03	0.2	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	2	16	2.5	0.03	0.2	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	4	4	2.5	0.03	0.2	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	4	8	2.5	0.03	0.2	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	4	16	2.5	0.03	0.2	0.0	1
by_model_layer_rank	EleutherAI/pythia-160m-deduped	3	8	2.5	0.03	0.2	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	3	16	2.5	0.03	0.2	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	3	32	2.5	0.03	0.2	0.4782608695652174	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	4	8	2.5	0.03	0.2	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	4	16	2.5	0.03	0.2	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	4	32	2.5	0.03	0.2	0.17391304347826086	23
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	4	2.5	0.03	0.2	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	8	2.5	0.03	0.2	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	16	2.5	0.03	0.2	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	32	2.5	0.03	0.2	1.0	1
by_model_layer_rank	gpt2	4	4	2.5	0.03	0.2	0.0	1
by_model_layer_rank	gpt2	4	8	2.5	0.03	0.2	1.0	1
by_model_layer_rank	gpt2	4	16	2.5	0.03	0.2	1.0	1
by_model_layer_rank	gpt2	4	32	2.5	0.03	0.2	1.0	1
overall				2.5	0.03	0.2	0.756578947368421	152
by_model_layer_rank	EleutherAI/pythia-14m-deduped	2	4	2.5	0.03	0.25	1.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	2	8	2.5	0.03	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	2	16	2.5	0.03	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	4	4	2.5	0.03	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	4	8	2.5	0.03	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	4	16	2.5	0.03	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-160m-deduped	3	8	2.5	0.03	0.25	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	3	16	2.5	0.03	0.25	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	3	32	2.5	0.03	0.25	0.17391304347826086	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	4	8	2.5	0.03	0.25	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	4	16	2.5	0.03	0.25	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	4	32	2.5	0.03	0.25	0.17391304347826086	23
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	4	2.5	0.03	0.25	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	8	2.5	0.03	0.25	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	16	2.5	0.03	0.25	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	32	2.5	0.03	0.25	1.0	1
by_model_layer_rank	gpt2	4	4	2.5	0.03	0.25	0.0	1
by_model_layer_rank	gpt2	4	8	2.5	0.03	0.25	1.0	1
by_model_layer_rank	gpt2	4	16	2.5	0.03	0.25	1.0	1
